"state","county","fips"
"AL","Autauga County","01001"
"AL","Baldwin County","01003"
"AL","Barbour County","01005"
"AL","Bibb County","01007"
"AL","Blount County","01009"
"AL","Bullock County","01011"
"AL","Butler County","01013"
"AL","Calhoun County","01015"
"AL","Chambers County","01017"
"AL","Cherokee County","01019"
"AL","Chilton County","01021"
"AL","Choctaw County","01023"
"AL","Clarke County","01025"
"AL","Clay County","01027"
"AL","Cleburne County","01029"
"AL","Coffee County","01031"
"AL","Colbert County","01033"
"AL","Conecuh County","01035"
"AL","Coosa County","01037"
"AL","Covington County","01039"
"AL","Crenshaw County","01041"
"AL","Cullman County","01043"
"AL","Dale County","01045"
"AL","Dallas County","01047"
"AL","DeKalb County","01049"
"AL","Elmore County","01051"
"AL","Escambia County","01053"
"AL","Etowah County","01055"
"AL","Fayette County","01057"
"AL","Franklin County","01059"
"AL","Geneva County","01061"
"AL","Greene County","01063"
"AL","Hale County","01065"
"AL","Henry County","01067"
"AL","Houston County","01069"
"AL","Jackson County","01071"
"AL","Jefferson County","01073"
"AL","Lamar County","01075"
"AL","Lauderdale County","01077"
"AL","Lawrence County","01079"
"AL","Lee County","01081"
"AL","Limestone County","01083"
"AL","Lowndes County","01085"
"AL","Macon County","01087"
"AL","Madison County","01089"
"AL","Marengo County","01091"
"AL","Marion County","01093"
"AL","Marshall County","01095"
"AL","Mobile County","01097"
"AL","Monroe County","01099"
"AL","Montgomery County","01101"
"AL","Morgan County","01103"
"AL","Perry County","01105"
"AL","Pickens County","01107"
"AL","Pike County","01109"
"AL","Randolph County","01111"
"AL","Russell County","01113"
"AL","St. Clair County","01115"
"AL","Shelby County","01117"
"AL","Sumter County","01119"
"AL","Talladega County","01121"
"AL","Tallapoosa County","01123"
"AL","Tuscaloosa County","01125"
"AL","Walker County","01127"
"AL","Washington County","01129"
"AL","Wilcox County","01131"
"AL","Winston County","01133"
"AK","Aleutians East Borough","02013"
"AK","Aleutians West Census Area","02016"
"AK","Anchorage Municipality","02020"
"AK","Bethel Census Area","02050"
"AK","Bristol Bay Borough","02060"
"AK","Denali Borough","02068"
"AK","Dillingham Census Area","02070"
"AK","Fairbanks North Star Borough","02090"
"AK","Haines Borough","02100"
"AK","Hoonah-Angoon Census Area","02105"
"AK","Juneau City and Borough","02110"
"AK","Kenai Peninsula Borough","02122"
"AK","Ketchikan Gateway Borough","02130"
"AK","Kodiak Island Borough","02150"
