FIPS,abbr,full,pop_est_2015
01001,AL,Autauga County,"55,347"
01003,AL,Baldwin County,"203,709"
01005,AL,Barbour County,"26,489"
01007,AL,Bibb County,"22,583"
01009,AL,Blount County,"57,673"
01011,AL,Bullock County,"10,696"
01013,AL,Butler County,"20,154"
01015,AL,Calhoun County,"115,620"
01017,AL,Chambers County,"34,123"
01019,AL,Cherokee County,"25,859"
01021,AL,Chilton County,"43,943"
01023,AL,Choctaw County,"13,170"
01025,AL,Clarke County,"24,675"
01027,AL,Clay County,"13,555"
01029,AL,Cleburne County,"15,018"
01031,AL,Coffee County,"51,211"
01033,AL,Colbert County,"54,354"
01035,AL,Conecuh County,"12,672"
01037,AL,Coosa County,"10,724"
01039,AL,Covington County,"37,835"
01041,AL,Crenshaw County,"13,963"
01043,AL,Cullman County,"82,005"
01045,AL,Dale County,"49,565"
01047,AL,Dallas County,"41,131"
01049,AL,DeKalb County,"71,130"
01051,AL,Elmore County,"81,468"
01053,AL,Escambia County,"37,789"
01055,AL,Etowah County,"103,057"
01057,AL,Fayette County,"16,759"
01059,AL,Franklin County,"31,696"
01061,AL,Geneva County,"26,777"
01063,AL,Greene County,"8,479"
01065,AL,Hale County,"15,068"
01067,AL,Henry County,"17,221"
01069,AL,Houston County,"104,173"
01071,AL,Jackson County,"52,419"
01073,AL,Jefferson County,"660,367"
01075,AL,Lamar County,"13,886"
01077,AL,Lauderdale County,"92,596"
01079,AL,Lawrence County,"33,115"
01081,AL,Lee County,"156,993"
01083,AL,Limestone County,"91,663"
01085,AL,Lowndes County,"10,458"
01087,AL,Macon County,"19,105"
01089,AL,Madison County,"353,089"
01091,AL,Marengo County,"20,028"
01093,AL,Marion County,"30,168"
01095,AL,Marshall County,"94,725"
01097,AL,Mobile County,"415,395"
01099,AL,Monroe County,"21,673"
01101,AL,Montgomery County,"226,519"
01103,AL,Morgan County,"119,565"
01105,AL,Perry County,"9,652"
01107,AL,Pickens County,"20,864"
01109,AL,Pike County,"33,046"
01111,AL,Randolph County,"22,696"
01113,AL,Russell County,"59,660"
01115,AL,St. Clair County,"87,074"
01117,AL,Shelby County,"208,713"
01119,AL,Sumter County,"13,103"
01121,AL,Talladega County,"80,862"
01123,AL,Tallapoosa County,"40,844"
01125,AL,Tuscaloosa County,"203,976"
01127,AL,Walker County,"65,294"
01129,AL,Washington County,"16,804"
01131,AL,Wilcox County,"11,059"
01133,AL,Winston County,"23,877"
02013,AK,Aleutians East Borough,"3,341"
02016,AK,Aleutians West Census Area,"5,702"
02020,AK,Anchorage Municipality,"298,695"
02050,AK,Bethel Census Area,"17,946"
02060,AK,Bristol Bay Borough,892
02068,AK,Denali Borough,"1,919"
02070,AK,Dillingham Census Area,"4,997"
02090,AK,Fairbanks North Star Borough,"99,631"
02100,AK,Haines Borough,"2,534"
02105,AK,Hoonah-Angoon Census Area,"2,133"
02110,AK,Juneau City and Borough,"32,756"
02122,AK,Kenai Peninsula Borough,"58,059"
02130,AK,Ketchikan Gateway Borough,"13,709"
02150,AK,Kodiak Island Borough,"13,889"
02158,AK,Kusilvak Census Area,"8,119"
02164,AK,Lake and Peninsula Borough,"1,563"
02170,AK,Matanuska-Susitna Borough,"101,095"
02180,AK,Nome Census Area,"9,846"
02185,AK,North Slope Borough,"9,687"
02188,AK,Northwest Arctic Borough,"7,752"
02195,AK,Petersburg Borough,"3,177"
02198,AK,Prince of Wales-Hyder Census Area,"6,341"
02220,AK,Sitka City and Borough,"8,863"
02230,AK,Skagway Municipality,"1,057"
02240,AK,Southeast Fairbanks Census Area,"6,839"
02261,AK,Valdez-Cordova Census Area,"9,362"
02275,AK,Wrangell City and Borough,"2,382"
02282,AK,Yakutat City and Borough,613
02290,AK,Yukon-Koyukuk Census Area,"5,533"
04001,AZ,Apache County,"71,474"
04003,AZ,Cochise County,"126,427"
04005,AZ,Coconino County,"139,097"
04007,AZ,Gila County,"53,159"
