"x","y","fips"
-1947533.15070479,-540533.02100443,"06075"
2315380.71764555,118243.25740126,"25025"
-308879.6346208,-376951.93243734,"31007"
1914553.15333556,-714097.75195255,"37181"
-170183.24892904,-967020.94985178,"48421"
2081245.64727781,336992.60785746,"50011"
1818101.90207292,-616475.67746234,"51680"
623127.05041741,-1236773.32059353,"05099"
-434919.92451133,-550186.25245131,"08014"
-926569.43774274,-72344.59757505,"16065"
915438.86763167,-650878.19698627,"17027"
440866.95881992,-277001.24922691,"19025"
1425724.91331236,-681939.60459516,"21129"
890855.04501208,-1562819.7860481,"22063"
316428.71803908,-505012.89655943,"31097"
-138663.87616982,-421060.58280778,"31101"
1748156.30213497,-647479.01130234,"51775"
186596.01340416,-1750859.21891311,"48493"
-183199.07512407,-1358279.18977114,"48115"
260960.14286734,22522.44621118,"46051"
796278.32109709,-1003110.74686196,"05067"
1981831.60724302,-584943.97799603,"51670"
115765.86037605,-142417.5171325,"46003"
1243317.65631351,-521051.4698786,"18031"
1188480.91653742,-358756.14880627,"18169"
402550.36897508,-279504.86885167,"19161"
2006397.76483776,-817173.02691144,"37107"
761043.26863516,-739005.65319352,"29055"
-310770.15513228,-415662.27035578,"31105"
-636182.99594254,-572000.27101644,"08045"
748665.10500498,-468478.63820874,"17067"
339667.32517911,-18654.26613895,"27173"
-40538.3649729,-536131.77659149,"31145"
1455626.56173158,-1113462.58605065,"13089"
1568844.09207148,-961497.42113078,"45077"
340797.22960295,-571711.01041464,"20131"
860985.30736984,-998563.38389221,"05111"
854923.31607596,-383079.75070134,"17175"
2020782.9588238,-765562.1789764,"37147"
431861.04038947,-199165.75231749,"19147"
508297.28006995,-193751.77645415,"19081"
666806.56800282,-828906.86043007,"29229"
15892.52967719,-497535.16596243,"31073"
18059.00690734,205790.29425425,"38043"
150012.59541386,-1097834.26642641,"40015"
1962537.34493318,-233196.27377393,"42075"
-208031.91901881,-1159778.27323768,"48069"
-217570.54074316,-1210759.09951018,"48279"
16148.21529086,-1685610.87521805,"48385"
786444.80092977,-15430.80035567,"55141"
746656.04136106,120046.24757392,"55099"
-529929.07398113,-1131640.80977398,"35057"
1173027.12151596,-44925.18677312,"26107"
443570.07965656,-543822.69379613,"29003"
1932700.35244382,-188974.27211755,"42097"
878374.7245835,-271215.1271562,"17141"
1285882.12492048,-1488423.57203223,"12091"
1021672.12170477,-397121.12143585,"17075"
391663.68402058,-168692.84220382,"19059"
-159705.97643659,-865858.63172643,"20129"
1073108.18921944,-1411614.02475284,"28153"
1737335.92687898,40168.71591948,"36073"
1781081.73015103,-58869.44229313,"36003"
1815276.97259596,-592917.93100786,"51009"
1692407.49024616,-1266921.92971185,"13267"
-1152500.6439988,-157622.26546577,"16053"
2082519.68985635,27294.56895027,"36039"
1183717.37655258,-201224.46509808,"26077"
1137187.94161434,-61615.24343357,"26123"
330431.75183379,-786489.52833009,"20073"
164799.32683483,-495564.64782508,"31035"
160996.48432292,-363385.46745826,"31011"
1800442.77321454,-772836.78765319,"37081"
178057.26917958,-147903.47945306,"46061"
2113055.88278325,319663.07253746,"50015"
799721.33748084,88439.39622432,"55069"
1613539.67599201,-769480.85476707,"47091"
408623.50489044,-461617.82803988,"19145"
-448508.08098887,-664119.60655915,"08119"
738294.83302819,-629652.86006573,"29139"
700531.48178922,-1415439.80629829,"22127"
1958221.24523484,-401371.08955224,"11001"
-969244.82879057,-248277.26825891,"16041"
598319.9339917,-447398.2873118,"19007"
200812.45740537,-572028.98468083,"20157"
1103288.41173102,20569.26788349,"26101"
534251.91562964,-125621.74889359,"27047"
1476469.94948362,-247617.6667675,"39093"
1403043.04074706,-966640.75515168,"47139"
-223237.65904623,-1062387.21087171,"48359"
1349707.30407788,-573710.71024221,"21191"
839231.625669,-535662.16208725,"17137"
539173.20741775,-308025.92086281,"19169"
1269549.08744741,-145379.14967974,"26065"
949976.23667516,-1397341.28759426,"28127"
1027215.33769572,-1469409.65268203,"28035"
2238085.64883751,240047.4442581,"33001"
1551903.60256632,-212643.65057912,"39055"
1639086.84994472,-994661.26555213,"45059"
191065.47086726,-105917.98928,"46097"
22541.75493563,-1836777.80714134,"48127"
-169954.57543607,-1310527.94829319,"48305"
99981.94165028,-1627462.32319056,"48171"
2008478.23816653,-526808.51846759,"51097"
940753.181837,-801509.76478605,"17003"
1441822.29989192,-830059.24673757,"47173"
1207539.31360158,-539638.84140869,"18005"
