"full","abbr","county","fips"
"Alaska","AK","Aleutians West Census Area","02016"
"Alaska","AK","Aleutians East Borough","02013"
"Alaska","AK","Lake and Peninsula Borough","02164"
"Alaska","AK","Matanuska-Susitna Borough","02170"
"Alaska","AK","Nome Census Area","02180"
"Alaska","AK","North Slope Borough","02185"
"Alaska","AK","Northwest Arctic Borough","02188"
"Alaska","AK","Petersburg Census Area","02195"
"Alaska","AK","Prince of Wales-Hyder Census Area","02198"
"Alaska","AK","Sitka City and Borough","02220"
"Alaska","AK","Skagway Municipality","02230"
"Alaska","AK","Southeast Fairbanks Census Area","02240"
"Alaska","AK","Valdez-Cordova Census Area","02261"
"Alaska","AK","Wade Hampton Census Area","02270"
"Alaska","AK","Wrangell City and Borough","02275"
"Alaska","AK","Yakutat City and Borough","02282"
"Alaska","AK","Yukon-Koyukuk Census Area","02290"
"Alaska","AK","Denali Borough","02068"
"Alaska","AK","Anchorage Municipality","02020"
"Alaska","AK","Bethel Census Area","02050"
"Alaska","AK","Bristol Bay Borough","02060"
"Alaska","AK","Hoonah-Angoon Census Area","02105"
"Alaska","AK","Dillingham Census Area","02070"
"Alaska","AK","Fairbanks North Star Borough","02090"
"Alaska","AK","Haines Borough","02100"
"Alaska","AK","Kodiak Island Borough","02150"
"Alaska","AK","Juneau City and Borough","02110"
"Alaska","AK","Kenai Peninsula Borough","02122"
"Alaska","AK","Ketchikan Gateway Borough","02130"
"Alabama","AL","Baldwin County","01003"
"Alabama","AL","Barbour County","01005"
"Alabama","AL","Autauga County","01001"
"Alabama","AL","Cleburne County","01029"
"Alabama","AL","Coffee County","01031"
"Alabama","AL","Bibb County","01007"
"Alabama","AL","Blount County","01009"
"Alabama","AL","Bullock County","01011"
"Alabama","AL","Butler County","01013"
"Alabama","AL","Calhoun County","01015"
"Alabama","AL","Chambers County","01017"
"Alabama","AL","Cherokee County","01019"
"Alabama","AL","Chilton County","01021"
"Alabama","AL","Choctaw County","01023"
"Alabama","AL","Clarke County","01025"
"Alabama","AL","Clay County","01027"
"Alabama","AL","Etowah County","01055"
"Alabama","AL","Fayette County","01057"
"Alabama","AL","Colbert County","01033"
"Alabama","AL","Conecuh County","01035"
"Alabama","AL","Coosa County","01037"
"Alabama","AL","Covington County","01039"
"Alabama","AL","Crenshaw County","01041"
"Alabama","AL","Cullman County","01043"
"Alabama","AL","Dale County","01045"
"Alabama","AL","Dallas County","01047"
"Alabama","AL","DeKalb County","01049"
"Alabama","AL","Elmore County","01051"
"Alabama","AL","Escambia County","01053"
"Alabama","AL","Lee County","01081"
"Alabama","AL","Limestone County","01083"
"Alabama","AL","Lowndes County","01085"
"Alabama","AL","Macon County","01087"
"Alabama","AL","Madison County","01089"
"Alabama","AL","Marengo County","01091"
"Alabama","AL","Marion County","01093"
"Alabama","AL","Marshall County","01095"
"Alabama","AL","Mobile County","01097"
"Alabama","AL","Monroe County","01099"
"Alabama","AL","Montgomery County","01101"
"Alabama","AL","Morgan County","01103"
"Alabama","AL","Perry County","01105"
"Alabama","AL","Pickens County","01107"
"Alabama","AL","Pike County","01109"
"Alabama","AL","Randolph County","01111"
"Alabama","AL","Russell County","01113"
"Alabama","AL","St. Clair County","01115"
"Alabama","AL","Shelby County","01117"
"Alabama","AL","Sumter County","01119"
"Alabama","AL","Talladega County","01121"
"Alabama","AL","Tallapoosa County","01123"
"Alabama","AL","Tuscaloosa County","01125"
"Alabama","AL","Walker County","01127"
"Alabama","AL","Washington County","01129"
"Alabama","AL","Wilcox County","01131"
"Alabama","AL","Winston County","01133"
"Alabama","AL","Greene County","01063"
"Alabama","AL","Hale County","01065"
"Alabama","AL","Franklin County","01059"
"Alabama","AL","Geneva County","01061"
"Alabama","AL","Jackson County","01071"
"Alabama","AL","Jefferson County","01073"
"Alabama","AL","Henry County","01067"
"Alabama","AL","Houston County","01069"
"Alabama","AL","Lawrence County","01079"
"Alabama","AL","Lamar County","01075"
"Alabama","AL","Lauderdale County","01077"
"Arkansas","AR","Clay County","05021"
"Arkansas","AR","Cleburne County","05023"
"Arkansas","AR","Cleveland County","05025"
"Arkansas","AR","Conway County","05029"
"Arkansas","AR","Craighead County","05031"
"Arkansas","AR","Crawford County","05033"
"Arkansas","AR","Crittenden County","05035"
"Arkansas","AR","Cross County","05037"
"Arkansas","AR","Dallas County","05039"
"Arkansas","AR","Desha County","05041"
"Arkansas","AR","Drew County","05043"
"Arkansas","AR","Faulkner County","05045"
"Arkansas","AR","Franklin County","05047"
"Arkansas","AR","Fulton County","05049"
"Arkansas","AR","Garland County","05051"
"Arkansas","AR","Columbia County","05027"
"Arkansas","AR","Greene County","05055"
"Arkansas","AR","Hempstead County","05057"
"Arkansas","AR","Hot Spring County","05059"
"Arkansas","AR","Howard County","05061"
"Arkansas","AR","Independence County","05063"
"Arkansas","AR","Izard County","05065"
"Arkansas","AR","Jackson County","05067"
"Arkansas","AR","Jefferson County","05069"
"Arkansas","AR","Johnson County","05071"
"Arkansas","AR","Lafayette County","05073"
"Arkansas","AR","Lawrence County","05075"
"Arkansas","AR","Lee County","05077"
"Arkansas","AR","Grant County","05053"
"Arkansas","AR","Arkansas County","05001"
"Arkansas","AR","Ashley County","05003"
"Arkansas","AR","Baxter County","05005"
"Arkansas","AR","Benton County","05007"
"Arkansas","AR","Boone County","05009"
"Arkansas","AR","Bradley County","05011"
"Arkansas","AR","Calhoun County","05013"
"Arkansas","AR","Carroll County","05015"
"Arkansas","AR","Chicot County","05017"
"Arkansas","AR","Clark County","05019"
"Arkansas","AR","Newton County","05101"
"Arkansas","AR","Ouachita County","05103"
"Arkansas","AR","Perry County","05105"
"Arkansas","AR","Phillips County","05107"
"Arkansas","AR","Pike County","05109"
"Arkansas","AR","Poinsett County","05111"
"Arkansas","AR","Polk County","05113"
"Arkansas","AR","Pope County","05115"
"Arkansas","AR","Prairie County","05117"
"Arkansas","AR","Pulaski County","05119"
"Arkansas","AR","Randolph County","05121"
"Arkansas","AR","St. Francis County","05123"
"Arkansas","AR","Saline County","05125"
"Arkansas","AR","Scott County","05127"
"Arkansas","AR","Searcy County","05129"
"Arkansas","AR","Sebastian County","05131"
"Arkansas","AR","Sevier County","05133"
"Arkansas","AR","Sharp County","05135"
"Arkansas","AR","Stone County","05137"
"Arkansas","AR","Union County","05139"
"Arkansas","AR","Van Buren County","05141"
"Arkansas","AR","Washington County","05143"
"Arkansas","AR","White County","05145"
"Arkansas","AR","Woodruff County","05147"
"Arkansas","AR","Yell County","05149"
"Arkansas","AR","Montgomery County","05097"
"Arkansas","AR","Nevada County","05099"
"Arkansas","AR","Logan County","05083"
"Arkansas","AR","Lonoke County","05085"
"Arkansas","AR","Lincoln County","05079"
"Arkansas","AR","Little River County","05081"
"Arkansas","AR","Miller County","05091"
"Arkansas","AR","Mississippi County","05093"
"Arkansas","AR","Madison County","05087"
"Arkansas","AR","Marion County","05089"
"Arkansas","AR","Monroe County","05095"
,"AS","Rose Island","60030"
,"AS","Swains Island","60040"
,"AS","Eastern District","60010"
,"AS","Manu'a District","60020"
,"AS","Western District","60050"
"Arizona","AZ","Apache County","04001"
"Arizona","AZ","Yavapai County","04025"
"Arizona","AZ","Cochise County","04003"
"Arizona","AZ","Coconino County","04005"
"Arizona","AZ","Gila County","04007"
"Arizona","AZ","Graham County","04009"
"Arizona","AZ","Greenlee County","04011"
"Arizona","AZ","La Paz County","04012"
"Arizona","AZ","Maricopa County","04013"
"Arizona","AZ","Mohave County","04015"
"Arizona","AZ","Navajo County","04017"
"Arizona","AZ","Pima County","04019"
"Arizona","AZ","Pinal County","04021"
"Arizona","AZ","Santa Cruz County","04023"
"Arizona","AZ","Yuma County","04027"
"California","CA","Santa Cruz County","06087"
"California","CA","Shasta County","06089"
"California","CA","Santa Barbara County","06083"
"California","CA","Santa Clara County","06085"
"California","CA","Lake County","06033"
"California","CA","Lassen County","06035"
"California","CA","Los Angeles County","06037"
"California","CA","Madera County","06039"
"California","CA","Marin County","06041"
"California","CA","Mariposa County","06043"
"California","CA","Mendocino County","06045"
"California","CA","Merced County","06047"
"California","CA","Modoc County","06049"
"California","CA","Mono County","06051"
"California","CA","Monterey County","06053"
"California","CA","Napa County","06055"
"California","CA","Nevada County","06057"
"California","CA","Orange County","06059"
"California","CA","Placer County","06061"
"California","CA","Plumas County","06063"
"California","CA","Riverside County","06065"
"California","CA","Sacramento County","06067"
"California","CA","San Benito County","06069"
"California","CA","San Bernardino County","06071"
"California","CA","San Diego County","06073"
"California","CA","San Francisco County","06075"
"California","CA","San Joaquin County","06077"
"California","CA","San Luis Obispo County","06079"
"California","CA","San Mateo County","06081"
"California","CA","Alameda County","06001"
"California","CA","Alpine County","06003"
"California","CA","Amador County","06005"
"California","CA","Butte County","06007"
"California","CA","Calaveras County","06009"
"California","CA","Colusa County","06011"
"California","CA","Contra Costa County","06013"
"California","CA","Del Norte County","06015"
"California","CA","El Dorado County","06017"
"California","CA","Fresno County","06019"
"California","CA","Glenn County","06021"
"California","CA","Humboldt County","06023"
"California","CA","Imperial County","06025"
"California","CA","Inyo County","06027"
"California","CA","Kern County","06029"
"California","CA","Kings County","06031"
"California","CA","Ventura County","06111"
"California","CA","Yolo County","06113"
"California","CA","Yuba County","06115"
"California","CA","Sonoma County","06097"
"California","CA","Sierra County","06091"
"California","CA","Siskiyou County","06093"
"California","CA","Solano County","06095"
"California","CA","Trinity County","06105"
"California","CA","Stanislaus County","06099"
"California","CA","Sutter County","06101"
"California","CA","Tehama County","06103"
"California","CA","Tulare County","06107"
"California","CA","Tuolumne County","06109"
"Colorado","CO","Adams County","08001"
"Colorado","CO","Conejos County","08021"
"Colorado","CO","Costilla County","08023"
"Colorado","CO","Crowley County","08025"
"Colorado","CO","Alamosa County","08003"
"Colorado","CO","Arapahoe County","08005"
