"x","y","fips","abbr","full","county"
1257699.71881316,-1283632.7546203,"01001","AL","Alabama","Autauga County"
1184977.03385865,-1514694.0287723,"01003","AL","Alabama","Baldwin County"
1385882.08811728,-1337912.07322999,"01005","AL","Alabama","Barbour County"
1204850.49096366,-1240964.0204092,"01007","AL","Alabama","Bibb County"
1240049.69374345,-1127077.11445677,"01009","AL","Alabama","Blount County"
1346787.53928729,-1319755.56525308,"01011","AL","Alabama","Bullock County"
1261318.91647642,-1369745.82109085,"01013","AL","Alabama","Butler County"
1307576.51648209,-1137974.54293626,"01015","AL","Alabama","Calhoun County"
1362920.2186177,-1225075.35581663,"01017","AL","Alabama","Chambers County"
1320905.9505653,-1091764.04526789,"01019","AL","Alabama","Cherokee County"
1244117.15040462,-1249408.84664887,"01021","AL","Alabama","Chilton County"
1109182.74151281,-1350203.2276329,"01023","AL","Alabama","Choctaw County"
1153542.45092567,-1391692.56642116,"01025","AL","Alabama","Clarke County"
1318380.00054237,-1194221.98692691,"01027","AL","Alabama","Clay County"
1341483.15124918,-1146904.97015113,"01029","AL","Alabama","Cleburne County"
1331724.81070231,-1400848.79108596,"01031","AL","Alabama","Coffee County"
1098821.62259267,-1066148.10532774,"01033","AL","Alabama","Colbert County"
1236495.13981804,-1411681.24970736,"01035","AL","Alabama","Conecuh County"
1284523.37416105,-1235946.73954768,"01037","AL","Alabama","Coosa County"
1291489.49483861,-1425981.18048817,"01039","AL","Alabama","Covington County"
1298248.33502174,-1372051.35766984,"01041","AL","Alabama","Crenshaw County"
1205416.45803037,-1113788.66907219,"01043","AL","Alabama","Cullman County"
1367570.48778277,-1389491.9739544,"01045","AL","Alabama","Dale County"
1212220.01574563,-1318567.03051159,"01047","AL","Alabama","Dallas County"
1294764.337938,-1069910.15875934,"01049","AL","Alabama","DeKalb County"
1304276.36888379,-1271201.9001536,"01051","AL","Alabama","Elmore County"
1234023.25765251,-1445674.69363296,"01053","AL","Alabama","Escambia County"
1285540.72652074,-1109393.18138171,"01055","AL","Alabama","Etowah County"
1133151.31936455,-1168189.24563123,"01057","AL","Alabama","Fayette County"
1115229.06796306,-1092015.99370399,"01059","AL","Alabama","Franklin County"
1359044.2230116,-1429578.68532178,"01061","AL","Alabama","Geneva County"
1123011.76268797,-1261880.0802086,"01063","AL","Alabama","Greene County"
1156560.45713121,-1270176.32325202,"01065","AL","Alabama","Hale County"
1400404.85903665,-1372176.33562999,"01067","AL","Alabama","Henry County"
1401190.73191174,-1415619.41027837,"01069","AL","Alabama","Houston County"
1277439.76578513,-1029848.45650919,"01071","AL","Alabama","Jackson County"
1220686.45833767,-1167551.4228856,"01073","AL","Alabama","Jefferson County"
1101942.37418998,-1180087.5881155,"01075","AL","Alabama","Lamar County"
1113874.86729847,-1043399.81941389,"01077","AL","Alabama","Lauderdale County"
1161800.31859539,-1079929.17054803,"01079","AL","Alabama","Lawrence County"
1382434.94263484,-1256116.19785961,"01081","AL","Alabama","Lee County"
1186225.14328647,-1038401.28391579,"01083","AL","Alabama","Limestone County"
1261272.42079677,-1328010.56335943,"01085","AL","Alabama","Lowndes County"
1347773.90551485,-1285704.831421,"01087","AL","Alabama","Macon County"
1225297.4809928,-1034870.66253441,"01089","AL","Alabama","Madison County"
1155831.82617069,-1327114.81809124,"01091","AL","Alabama","Marengo County"
1120096.41901688,-1124298.92291707,"01093","AL","Alabama","Marion County"
1256278.63061155,-1080633.53189613,"01095","AL","Alabama","Marshall County"
1129787.03021229,-1481856.33831784,"01097","AL","Alabama","Mobile County"
1200390.71479659,-1398768.48551508,"01099","AL","Alabama","Monroe County"
1298843.80260806,-1311837.70386739,"01101","AL","Alabama","Montgomery County"
1196641.32703434,-1079241.67570145,"01103","AL","Alabama","Morgan County"
1193677.0310164,-1280442.2965741,"01105","AL","Alabama","Perry County"
1110395.87047865,-1224905.08653465,"01107","AL","Alabama","Pickens County"
