"x","y","fips"
-1951963.35579208,-539946.80584706,"06075"
2321544.81086751,118163.81079443,"25025"
-309664.91695147,-376636.62669601,"31007"
1918683.11650375,-713187.29082799,"37181"
-170544.77581866,-965819.16307685,"48421"
2087146.34978894,336785.32946698,"50011"
1822176.92516604,-615781.12264559,"51680"
624328.96468844,-1234992.57934836,"05099"
-435971.60754433,-549657.07063307,"08014"
-929043.29316454,-72316.08625301,"16065"
917517.05525193,-650212.7148752,"17027"
441982.78594092,-276745.19746259,"19025"
1428940.35688785,-681165.75925363,"21129"
892448.08797018,-1560235.03565877,"22063"
317221.65673165,-504544.6735457,"31097"
-137203.22822478,-420731.74105961,"31101"
1752068.86669554,-646743.55903957,"51775"
186842.44395633,-1747814.91455435,"48493"
-183539.57389878,-1356233.89592328,"48115"
261525.18957418,24724.94037004,"46051"
797930.98745304,-1001777.94626423,"05067"
1986277.44180297,-584292.27442249,"51670"
116070.99086373,-142023.85146526,"46003"
1246238.85943288,-520561.20384388,"18031"
1191404.44515615,-358224.16178462,"18169"
403567.31321255,-279248.55973752,"19161"
2010617.95298562,-816143.01302763,"37107"
762757.08584558,-738108.23179898,"29055"
-311539.54194233,-415303.76413522,"31105"
-636636.43888961,-571514.70303859,"08045"
750513.58525542,-468158.3528806,"17067"
340593.24113685,-18629.9332683,"27173"
-40631.6920993,-535625.93805571,"31145"
1458446.59661025,-1111879.67677547,"13089"
1572021.63417974,-960225.08788525,"45077"
341612.92206596,-571147.22299827,"20131"
862938.80724838,-997264.8483513,"05111"
857083.26668515,-382722.67025567,"17175"
2025083.7709921,-764603.61867258,"37147"
433008.95867065,-199022.98771404,"19147"
509645.57495841,-193613.25937834,"19081"
668275.60697661,-827933.38095472,"29229"
15931.36295138,-497053.37256068,"31073"
18120.18639049,207003.40299148,"38043"
150315.8678706,-1095769.7117459,"40015"
1967387.51283795,-232985.76863289,"42075"
-208446.36805885,-1158185.64733278,"48069"
-217995.32369466,-1208997.13209133,"48279"
16134.84173264,-1682663.79666915,"48385"
788589.46631921,-15376.011657,"55141"
749595.03756823,113214.82159584,"55099"
-530902.42894476,-1129974.39378808,"35057"
1176208.51353073,-44894.38854904,"26107"
444666.33792827,-543340.47558197,"29003"
1937564.890761,-188794.21505756,"42097"
880669.15021389,-271006.31631225,"17141"
1288068.08799656,-1485730.78056676,"12091"
1024211.52478936,-396800.94982619,"17075"
392717.35639686,-168575.63449362,"19059"
-160056.40437971,-864842.78100069,"20129"
1075037.14966631,-1409384.78525912,"28153"
1742067.04711567,40151.51642909,"36073"
1785957.30981669,-59592.64284121,"36003"
1819311.15390852,-592237.64258171,"51009"
1695523.19009278,-1264997.77435624,"13267"
-1155495.85139985,-157525.06863818,"16053"
2088056.58932297,27297.21720458,"36039"
1186797.82188787,-201068.5779254,"26077"
1140258.73566037,-61549.45027387,"26123"
331173.71612607,-785593.88596365,"20073"
165203.24262397,-495110.3039742,"31035"
161408.66875263,-363115.26885293,"31011"
1804328.74965949,-771886.44401741,"37081"
178463.23964858,-145398.9512472,"46061"
2119062.12006982,319480.52622866,"50015"
801990.70213311,88392.90012065,"55069"
1617042.34800903,-768562.76003652,"47091"
409633.94521265,-461203.48722682,"19145"
-449508.63560574,-662573.56858342,"08119"
740020.38672234,-629003.25126214,"29139"
701259.28492558,-1413296.60135867,"22127"
1962832.11745704,-400953.4526694,"11001"
-971708.92610355,-248072.48176738,"16041"
601777.12599576,-446814.5469611,"19007"
201292.48975607,-571474.21685926,"20157"
1106332.15627552,20667.9979822,"26101"
535700.00766485,-125537.23262415,"27047"
1480220.87059157,-247409.45830782,"39093"
1405894.10213585,-965377.75437082,"47139"
-236760.38155132,-1060643.39236443,"48359"
1352858.61706198,-573119.61898855,"21191"
841286.99473563,-535127.55911071,"17137"
540560.00814996,-307780.74232832,"19169"
1272889.48793849,-145261.33521102,"26065"
951470.52156207,-1395196.18738618,"28127"
1029014.5830294,-1467019.5646741,"28035"
2244230.14629195,239913.97435042,"33001"
1555889.74464262,-212441.53847526,"39055"
1642302.66162003,-993283.45877079,"45059"
191586.03949382,-105849.39511017,"46097"
22257.11138316,-1833442.3744519,"48127"
-170274.22409514,-1308596.44004157,"48305"
99494.95122269,-1624735.38414613,"48171"
2013071.33248635,-526246.49948592,"51097"
942841.74017026,-800641.70779198,"17003"
1444893.87434826,-829024.6159817,"47173"
1210374.51706516,-539129.2766981,"18005"
142207.2672897,-1147219.17601224,"40031"
589352.43808989,-629012.59726297,"29195"
1111189.38204903,-1348200.58112352,"01023"
1419258.70975946,-1349132.73011866,"13061"
1101884.90051238,-290510.24863923,"18091"
1067443.20733054,-433342.20443025,"18171"
1162817.52522277,130463.4238466,"26029"
127835.57765795,-534530.52791157,"31181"
1512215.40789015,-555000.21033152,"39087"
1972614.59917187,-474166.93095135,"51099"
841549.12473285,-1030317.6664429,"05037"
1813979.09847764,-1632421.63881826,"12095"
860895.75178132,-414327.97350161,"17143"
1159966.86031082,-557627.76620787,"18105"
278970.93329196,-663656.55140713,"20061"
1075883.4483433,-1052925.15707715,"28141"
203765.91916632,-494087.08289364,"31059"
2011595.44392682,-157246.77141114,"42025"
-195611.37711188,-1503522.32708727,"48461"
295656.44965924,-1516046.87845643,"48145"
62663.32740426,-1530625.24213161,"48307"
867695.07967456,-158183.77749516,"55025"
798195.62056043,-175804.35222192,"55049"
1135331.15087968,-897191.88938163,"47043"
1247663.77161519,-110614.78780328,"26037"
382190.20941721,-318410.96429712,"19047"
453890.60248091,-779045.92164072,"20011"
59263.93386505,-675353.53313901,"20051"
1802103.82407943,-1747910.27901548,"12049"
28123.64657121,-910238.13912188,"40059"
2329719.93098486,48869.55394885,"44001"
-693059.16882666,-453059.67178319,"08081"
934936.26563685,236498.11316617,"26103"
1338397.48036469,-341204.72845437,"39003"
1501317.62572611,-577170.06014283,"21019"
2047921.57366546,-607303.30822143,"51093"
1348658.69038106,-549487.82609359,"21037"
1768585.37622352,-1510638.73807853,"12107"
1558985.47645751,-1110508.07081484,"13133"
-441384.35688142,-1106368.28668552,"35019"
1099718.66825924,-388693.42775512,"18181"
615267.40551027,-379649.83822816,"19123"
358199.49583127,-242030.21851098,"19035"
1038899.86287959,-829533.19772245,"21157"
1177996.05676959,-311215.53493553,"18085"
1562509.61044998,-372613.20014506,"39059"
1347144.08701135,-830566.2540664,"47049"
1331810.14781432,-932700.87906841,"47007"
129724.66091891,-1986914.46528723,"48247"
910745.98945568,-113119.74176377,"55027"
655036.84180908,-29860.43097454,"55011"
-38473.70941637,-1406617.98587182,"48353"
1238795.07183505,-1442955.41952328,"01053"
939046.0154225,-33207.73468278,"55015"
342216.17343145,-138398.53560859,"27105"
394632.18601209,129565.21556088,"27153"
538535.63033448,-788908.28873508,"29039"
1877304.14401443,-873048.48567282,"37093"
787910.56228677,-516120.31139526,"17009"
789753.50308057,-416248.03743589,"17187"
763450.74115142,-428585.6720133,"17071"
1135479.76641085,-130691.75462013,"26139"
545592.33211581,-487266.89448529,"29129"
363699.37988609,-1257499.55998549,"48147"
1850064.44638614,-466349.25384909,"51139"
892983.22772512,-199049.11165445,"55105"
614688.86475431,-982117.10564437,"05101"
-324139.27735668,-518671.722322,"08087"
1444036.48635715,-1337710.88270893,"13243"
1979966.48250889,-768771.45293243,"37195"
396840.89470354,-239854.74352607,"19021"
1499754.1912128,-696862.15738752,"21119"
890602.34298177,-1610781.58244091,"22093"
1243298.61557381,-367202.23913092,"18179"
60423.40857591,-718791.09847377,"20165"
2130443.67325447,-130417.91464164,"34013"
1999261.81707265,-570417.29044179,"51036"
1723866.73813999,-1040856.39078058,"45063"
1389159.94141334,-890345.25765429,"47145"
1724759.6682066,-1111257.97302284,"45011"
878263.32735191,-70458.15706711,"55047"
-885188.67944829,-467244.04649755,"49013"
1725237.52280633,-949969.49940433,"45023"
989202.83194696,-1058352.76932175,"28009"
1406464.93695824,-677691.69860405,"21065"
1380375.04441486,-1041220.45371759,"13129"
351232.15726151,-502919.37207163,"31127"
621003.18816756,-938903.77334787,"05009"
1900672.19951411,-1671617.36935873,"12009"
1806112.95734238,-1813499.88187256,"12015"
-32209.55792858,-861348.15269935,"20119"
378579.6980854,-856901.61329758,"20125"
1193341.91776102,-237363.63193567,"26149"
-1667100.79024185,287759.88162391,"41027"
1612902.25080537,-437752.77173281,"54073"
1622065.86941766,-1506472.6133846,"12067"
966868.37010864,-679659.79081186,"17081"
1267057.81650549,-541293.67534006,"18137"
376637.01111136,-816258.61046004,"20205"
-79223.14976041,-723255.33949892,"20171"
1279301.74336822,-660934.60153985,"21215"
1248231.28629996,87129.50451129,"26135"
702793.2498519,-609641.18719452,"29007"
-1830552.0038638,207830.87400688,"41003"
475770.76503553,-1345422.62878883,"48459"
-51973.09678176,-1561366.89305561,"48413"
1146291.36610272,-1003042.23078151,"47099"
2028854.79876798,-592658.511134,"51181"
-37866.40172535,-1358150.22108368,"48151"
1697058.36203653,-1085095.17013429,"45003"
349222.98108151,-1366732.90775609,"48257"
1083893.30965304,-662020.96057834,"18051"
455083.53424611,194105.58024241,"27035"
13640.14362334,-767217.793747,"20083"
1307939.54067039,-463121.86383205,"39135"
1425063.40851219,-1061631.8882289,"13057"
1526804.1967611,-1118249.87284419,"13211"
127085.53255998,-495900.7077902,"31001"
678668.15292948,-544373.85496316,"29205"
587946.0150938,-1183093.54503201,"05109"
201857.97083085,-1390648.27818395,"48221"
982462.66284145,-770870.09207346,"17087"
769845.74366529,-653573.89998272,"29219"
870984.38510452,-344244.8134296,"17011"
-144187.80550227,-340767.27565558,"31075"
1321545.29514088,-603847.12477312,"21187"
149992.93944704,-915742.64148204,"40003"
915382.5920203,-620668.51918767,"17005"
-1191890.37215564,-68865.35878745,"16025"
1239115.88830102,-854126.44000082,"47169"
847012.91582921,-241028.4447537,"17177"
-144993.6284974,263729.30073736,"38057"
1904630.24108899,59580.68073832,"36067"
332357.73929138,-282119.79078656,"19193"
-88245.10949314,236315.44653012,"38065"
971340.25783578,-872730.69992895,"21075"
486050.52028349,-456784.44263551,"19159"
1012628.36957913,-851570.00873134,"21083"
-1200943.99118798,-190727.49438248,"16083"
484260.68311218,-424336.80980944,"19175"
1345599.64183492,-977249.43933661,"47065"
914735.85853459,64.87831019,"55087"
1760345.43317785,-382603.36328438,"24023"
1033688.06922492,-623539.11103161,"17159"
1151159.42147963,-167918.69001944,"26005"
2018167.17281644,-923337.52327824,"37129"
174771.5858114,-780344.97387768,"20155"
394614.63251667,-201351.61979342,"19041"
1744545.42277481,-835711.73171673,"37159"
-153152.37883019,-673792.3153776,"20199"
321005.18649985,-1302286.26097227,"48085"
-19136.70725064,-1161604.44885608,"48075"
168849.31159881,-1413917.00330304,"48143"
373869.70552212,-743686.5742492,"20031"
463663.52578014,-313486.74734248,"19073"
375238.3346242,-780051.7050144,"20207"
507014.5165657,-160854.10047447,"19189"
1240223.07457939,-72495.46324238,"26057"
336675.39805075,-730616.56189859,"20111"
545294.25902612,-157801.69615287,"19195"
415217.74976082,-814288.38878499,"20133"
265846.04108253,-1754119.79565634,"48123"
1059556.04403514,-811714.98989154,"21143"
1851064.85510243,-804747.75702146,"37037"
1432662.74932561,-644899.31505325,"21165"
1131796.72623045,-13334.22138514,"26085"
700706.07805131,-1057132.10960033,"05045"
1655767.85858271,-822249.13650274,"37027"
626953.73285012,-1130798.35442803,"05051"
700919.57684715,-1156318.84132791,"05053"
2124722.3342045,87361.63651195,"36083"
1672516.80596526,-186557.36758981,"42121"
185231.36439,-1470040.36465002,"48193"
179942.68965947,421963.42129585,"38067"
1585387.49755261,-761797.39476681,"51520"
278100.40851024,-373084.2214841,"31053"
225586.74127356,-262255.48635074,"31027"
518167.48850272,-606930.44470256,"29177"
1902968.127834,-824294.90729684,"37085"
1870655.97572139,-826039.11097234,"37105"
911413.78567956,-157439.91086766,"55055"
1387886.43574792,-606373.63322507,"21181"
487511.11531788,-129294.20817015,"27043"
1835198.50990873,-884144.16636409,"37153"
1141530.90550753,-828333.4517441,"21219"
948032.82520529,-602796.8506408,"17051"
989159.72151403,-428771.87333671,"17053"
1086207.22936028,-748205.95486578,"21233"
-74621.30731515,-1112490.68823222,"48129"
1772687.13507148,-809318.66961895,"37057"
128597.25770154,67520.07514419,"46013"
1610415.08650746,-1029007.65210272,"45001"
230088.30946132,-181038.00243961,"46125"
136812.07022281,-63576.77817271,"46005"
1079194.01708958,-797161.60503649,"21033"
-187063.50368812,-117753.3284996,"46103"
263691.25826231,-23743.95886124,"46039"
1854071.55675348,-1086975.91774691,"45015"
57084.7801064,-1685983.34236998,"48019"
1788308.04661789,-149408.84446557,"42023"
1495028.26155869,-826132.6186594,"47063"
1819952.15486319,-1050337.59596456,"45027"
212174.24449706,-143909.15096546,"46087"
109482.0577274,-102806.42460701,"46073"
259047.61419267,-142189.55691468,"46099"
966640.0503557,-344722.52358099,"17063"
-972791.5537971,-297832.57261291,"49005"
499127.67189938,-48604.76862893,"27079"
1861158.7087189,-547454.30837781,"51003"
1095457.49133844,-957235.14773531,"47135"
1173857.65030021,-850140.93321038,"47147"
552572.36528357,-899692.72940275,"29009"
1882299.68800008,-641793.67163109,"51037"
1563486.44809991,-800887.27481776,"47179"
685639.07560109,88949.93429369,"55107"
1960195.86736675,-408836.15312066,"51013"
1761465.76632749,-1025592.28312158,"45079"
1889346.20024885,-547370.35838384,"51065"
1879168.69755546,-402123.25895463,"51043"
-1772975.54378153,319447.68484511,"41067"
464789.2262523,-57507.4309426,"27103"
267822.2505412,264370.6871868,"27107"
299854.32473436,-101722.86341165,"27117"
232209.03283207,-1676448.46037531,"48055"
2045995.62850341,-518710.50468559,"51103"
-1670762.03434237,178056.78322332,"41031"
613614.62644489,-868057.391408,"29043"
544767.27712474,-820005.39558547,"29057"
1716835.89651941,-167020.63014931,"42053"
840115.20067557,-508929.2780293,"17017"
-76772.26854052,-768252.84612128,"20055"
-116406.10560948,-776237.50856709,"20093"
-992056.51259964,-53095.45600747,"16051"
1535684.55569136,-1353255.00476133,"13321"
-94258.9931726,-341913.35442589,"31091"
-234356.73562292,-964016.80718679,"48111"
2000952.73595722,-94222.50722153,"42069"
1755576.2398603,-123148.39457439,"42083"
699893.96885684,-726120.17961821,"29125"
1392848.53713727,-935698.07426749,"47107"
1930115.29883535,-166060.986073,"42093"
1583813.51908829,-180252.44474245,"39007"
-88836.2456264,-535143.3655302,"31087"
500807.97150048,-815332.4358062,"29011"
209431.94259382,218330.25035184,"38017"
2083620.96062342,-169629.81044165,"34019"
1714389.18611871,-754973.13984641,"37171"
1577508.72695667,-727937.8961827,"51167"
-332349.85367429,-1008604.57575868,"35021"
352556.58498782,41195.3699299,"27151"
848124.15563362,88805.67261494,"55067"
-307751.46416431,-342887.18100172,"31157"
-316654.39048621,-1214121.5832104,"35041"
433689.91619811,124868.36355753,"27097"
1943070.74436497,-480156.42470613,"51630"
147694.73392721,216800.34522373,"38003"
1823049.83069075,-495984.62130708,"51660"
379871.61904632,-564360.60834913,"20013"
-367097.85442733,-118560.87695816,"56045"
1749704.79862806,-1784922.80251337,"12115"
907373.73670575,-587861.71366635,"17135"
560386.63758146,202436.53449401,"27017"
386027.47169164,240727.56586371,"27057"
-109140.1579243,351697.36504414,"38101"
384896.44839653,354965.55152038,"27007"
504275.80124033,188909.34087064,"27001"
1204543.31789378,162722.71207253,"26031"
1206831.80698201,165.63192257,"26035"
1264059.53062019,-356004.19699013,"18001"
1246423.82745413,-1247468.61490943,"01021"
550801.98907709,-1105695.79564075,"05127"
424445.12475193,-394458.04581146,"19029"
1861752.76156926,-399882.99755236,"51840"
412640.2497401,-741675.05135238,"20003"
1603336.27508451,-253911.23073792,"39099"
522887.92521982,-421322.59918212,"19039"
1056932.26892059,-372035.33453588,"18111"
708481.73260539,-243724.47853945,"19055"
595993.27357578,-1089832.64216544,"05149"
1336057.80315304,-420980.59561842,"39109"
89397.80773624,-1841668.91005235,"48283"
551057.89618778,-229253.82496368,"19069"
945806.40771516,-436162.52108339,"17113"
141885.01513335,-1840457.13041758,"48311"
1527416.23038336,-389889.60807319,"39119"
1573104.67935784,-405095.71804746,"39121"
-91005.86175234,-626611.25512502,"20193"
675976.29711055,-407800.58469838,"19101"
-562674.9078534,-802708.94487857,"08105"
577052.74275705,-383027.51106816,"19125"
-173870.50229104,-1110884.41511461,"48381"
310204.03545239,-244447.29640425,"19149"
1534964.965771,-1303897.1966891,"13081"
368612.54623352,-431076.30317693,"19129"
2220.92498025,-1458775.28009392,"48399"
1203423.58202786,-792857.11441298,"21227"
1746426.60416227,-1203202.94344759,"13103"
563144.69441177,-450488.11284808,"19185"
-218906.27898656,-1307714.06994116,"48445"
1593401.7706849,-221810.19091465,"39155"
1012383.21094346,-564041.40139385,"17035"
1532100.84692789,-1249310.46516159,"13153"
23371.50937466,-1730873.76851249,"48463"
1361881.41438758,-529291.55360062,"39025"
-24605.99903888,-1064629.79819308,"48483"
1455033.77547234,-1185980.31628003,"13231"
1384562.51484292,-484102.40903296,"39027"
1456226.58660467,-1056786.88986756,"13117"
1438788.75756383,-1150195.97698273,"13113"
1500997.32254919,-1329398.61333829,"13177"
-169736.22994002,-1260771.65146471,"48303"
302350.45969718,-1724038.0459964,"48285"
392354.35103527,-1778492.91756912,"48321"
726422.22260516,-1197174.81991927,"05025"
430339.55595087,30874.87543436,"27093"
1409504.49806281,-505635.5911392,"39071"
-678229.74482052,-726326.65547972,"08091"
337781.19645672,-1334109.78910169,"48397"
1480182.74466337,-296730.51997655,"39005"
-1334910.93362392,-10103.37563489,"16027"
109699.3479004,-1358319.31871158,"48429"
-141495.65630233,-379652.64462782,"31005"
945397.25198279,-1484042.13747499,"28147"
584320.95802781,-672122.18062397,"29159"
355250.18995139,75137.21417962,"27121"
158382.27459314,-1356717.46387634,"48363"
1459587.3275141,-1303692.34482646,"13307"
463824.49103782,-891847.32267584,"40115"
1624276.94163887,-1115194.08157747,"13189"
1601292.17628471,-1225687.68854233,"13175"
938513.99720125,56690.35555442,"55083"
795877.21531273,170085.277288,"55125"
635921.12923615,131412.36288132,"55129"
1762471.85720664,-1432231.81619758,"12031"
1443172.97178092,-445372.65176073,"39129"
1450969.88672137,-510349.72213051,"39131"
-77567.88840714,-157162.47208831,"46095"
-6497.85951799,-30739.62221734,"46119"
1438665.85592263,-410611.12318164,"39049"
665749.86516008,-473576.50164755,"29199"
2037462.62049238,-828069.10477488,"37103"
144799.76537459,-1722421.14885793,"48029"
168709.34548619,-1525580.16313728,"48281"
1636671.42629276,-1473964.34763747,"12121"
-1766429.460447,567159.73832164,"53031"
1598755.46512609,-1364096.90624548,"13019"
-880978.25373189,-355929.97124282,"56041"
1643160.14365323,-1387155.66662068,"13065"
1122350.55001569,-1122768.27954196,"01093"
1738748.5950717,-437423.03053433,"54093"
1745337.2756623,-590508.39391654,"51580"
1349778.96452044,-882425.55566411,"47035"
815112.53685853,-549513.60618366,"17171"
1277573.07638208,21848.9184859,"26011"
1240944.93279846,124974.73619289,"26119"
303519.13900726,-1349935.14470489,"48113"
964243.96008325,-1026982.58352084,"47047"
58258.22796703,-627066.29367448,"20163"
1351988.04100895,-204757.7982378,"26115"
113553.39511443,420409.04087717,"38019"
1216961.36113681,-356011.23420766,"18069"
156449.28013801,-698087.56324534,"20053"
406067.24730536,-668324.10218464,"20045"
266831.16279618,-103165.63130535,"46101"
1616069.4754978,-638391.17334709,"54109"
1207137.8084241,-1239113.45442234,"01007"
1081536.51290555,-830907.34737609,"21221"
-26005.243018,282355.99499691,"38083"
462611.38894031,-392082.30367891,"19001"
1036274.33456966,-1215493.68820367,"28105"
324840.11435186,-1601701.23561455,"48051"
484790.39870294,-1008401.39863095,"40001"
1003611.31796488,-1508604.36685106,"28109"
2089413.36417745,-626366.34576223,"51550"
692332.53468796,-372109.23116039,"19183"
967499.22679061,-1433820.56282244,"28065"
710416.02873832,-409617.00610229,"19087"
894194.7604966,-1526766.37421259,"22091"
1181604.50253596,-480665.80141629,"18097"
1113716.26331914,-462599.60580162,"18107"
1372226.02022884,-376883.56372244,"39091"
1759712.0949976,-645266.96204067,"51770"
734539.88918268,-384909.48081121,"19115"
849207.58073558,-73607.15269497,"55077"
10069.61017716,-627335.91466842,"20065"
