"x","y","fips"
-1686172.24652176,-812558.62886125,"06"
-479799.08045124,-650936.93449903,"08"
1958221.24523484,-401371.08955224,"11"
-1185882.88237928,-49488.58182059,"16"
900412.92985965,-474930.28614115,"17"
535395.26683388,-307807.30894402,"19"
1359588.27289998,-684028.22348924,"21"
699406.31134915,-1416729.95162803,"22"
1951365.07184473,-353313.88076733,"24"
416754.38084305,238185.58753074,"27"
654501.62742815,-730897.85678518,"29"
2005703.61204464,97056.48862977,"36"
-1567827.19830163,67269.59068566,"41"
1226004.38300385,-920653.92607329,"47"
183406.49069944,-1558446.36473345,"48"
1887217.37169351,-571875.8283487,"51"
789609.1050749,34956.86841852,"55"
1245764.30566818,-1299748.48812794,"01"
-1073378.61375247,-1161723.89045606,"04"
679584.12433224,-1086852.68026554,"05"
1178615.32449497,-498709.91923247,"18"
147825.63986454,-720182.75480126,"20"
2345369.54618764,484202.30399149,"23"
2194986.56204827,-6195.84685148,"09"
2098575.40703568,-388457.7038576,"10"
1588051.64399854,-1267172.77162964,"13"
1787036.89402439,-1044547.67108794,"45"
-22071.25117372,-58336.17954662,"46"
2186898.4425343,79714.15966282,"25"
1235664.28460117,-127072.1923228,"26"
959109.04466328,-1231809.83792186,"28"
30351.34696896,-388990.80111109,"31"
-1433631.76108555,-429090.03211442,"32"
2237160.72079985,198875.63440553,"33"
2120271.55346356,-268279.46923506,"34"
-555630.76274661,-1146019.44327432,"35"
1940021.54601498,-817519.09716714,"37"
-35330.21874034,275101.94226582,"38"
2308742.75632283,34965.82736578,"44"
1430425.33569336,-395386.92921955,"39"
329819.91350034,-1054012.4025313,"40"
1844595.81160671,-208003.98387746,"42"
1841723.16109764,-1755063.86182448,"12"
-699884.02227664,263582.63822309,"30"
-995227.76768172,-595718.48238688,"49"
2117966.74961014,312422.8759887,"50"
-1503988.10114314,461676.41878289,"53"
1630252.96968762,-564449.97158813,"54"
-620855.74640293,-193038.38897075,"56"
-1207947.59310454,-1848766.91317942,"02"
-187398.2402633,-2252214.90927649,"15"
