"x","y","fips","abbr","full"
1245764.30566818,-1299748.48812794,"01","AL","Alabama"
-1207922.26326005,-1848886.94413331,"02","AK","Alaska"
-1073378.61375247,-1161723.89045606,"04","AZ","Arizona"
679584.12433224,-1086852.68026554,"05","AR","Arkansas"
-1686122.49662683,-811984.06977281,"06","CA","California"
-479799.08045124,-650936.93449903,"08","CO","Colorado"
2194986.56204827,-6195.84685148,"09","CT","Connecticut"
2098575.40703568,-388457.7038576,"10","DE","Delaware"
1958221.24523484,-401371.08955224,"11","DC","District of Columbia"
1843603.10389657,-1757749.94448823,"12","FL","Florida"
1588051.64399854,-1267172.77162964,"13","GA","Georgia"
-187343.1780051,-2252467.41747022,"15","HI","Hawaii"
-1185882.88237928,-49488.58182059,"16","ID","Idaho"
900412.92985965,-474930.28614115,"17","IL","Illinois"
1178615.32449498,-498709.91923248,"18","IN","Indiana"
535395.26683388,-307807.30894402,"19","IA","Iowa"
147825.63986454,-720182.75480126,"20","KS","Kansas"
1359588.2729,-684028.22348923,"21","KY","Kentucky"
699406.31134915,-1416729.95162803,"22","LA","Louisiana"
2345304.11147864,484189.45275292,"23","ME","Maine"
1952046.75462031,-353181.1932354,"24","MD","Maryland"
2186995.25883553,79746.62888327,"25","MA","Massachusetts"
1234642.60056852,-127092.15575218,"26","MI","Michigan"
416754.38084305,238185.58753074,"27","MN","Minnesota"
959109.04466328,-1231809.83792186,"28","MS","Mississippi"
654501.62742815,-730897.85678518,"29","MO","Missouri"
-699884.02227664,263582.63822309,"30","MT","Montana"
30351.34696896,-388990.80111109,"31","NE","Nebraska"
-1433631.76108544,-429090.03211436,"32","NV","Nevada"
2237160.72079985,198875.63440553,"33","NH","New Hampshire"
2120271.55346356,-268279.46923506,"34","NJ","New Jersey"
-555630.76274661,-1146019.44327432,"35","NM","New Mexico"
2005763.05838628,95577.8530618,"36","NY","New York"
1940021.54601496,-817519.09716716,"37","NC","North Carolina"
-35330.21874034,275101.94226582,"38","ND","North Dakota"
1430337.50984242,-395263.96315459,"39","OH","Ohio"
329819.91350034,-1054012.4025313,"40","OK","Oklahoma"
-1567827.19830163,67269.59068566,"41","OR","Oregon"
1844595.8116067,-208003.98387746,"42","PA","Pennsylvania"
2308742.57912613,34962.17010657,"44","RI","Rhode Island"
1787036.89402439,-1044547.67108794,"45","SC","South Carolina"
-22071.25117372,-58336.17954662,"46","SD","South Dakota"
1226004.38300385,-920653.92607329,"47","TN","Tennessee"
183406.49069944,-1558446.36473345,"48","TX","Texas"
-995227.76768172,-595718.48238687,"49","UT","Utah"
2117966.74961014,312422.8759887,"50","VT","Vermont"
1887217.37169351,-571875.82834871,"51","VA","Virginia"
-1503988.10114314,461676.41878289,"53","WA","Washington"
1630252.96968763,-564449.97158813,"54","WV","West Virginia"
789563.86564149,34971.06324729,"55","WI","Wisconsin"
-620855.74640293,-193038.38897075,"56","WY","Wyoming"
