"x","y","fips"
-1686122.49662683,-811984.06977281,"06"
-479799.08045124,-650936.93449903,"08"
1958221.24523484,-401371.08955224,"11"
-1185882.88237928,-49488.58182059,"16"
900412.92985965,-474930.28614115,"17"
535395.26683388,-307807.30894402,"19"
1359588.2729,-684028.22348923,"21"
699406.31134915,-1416729.95162803,"22"
1952046.75462031,-353181.1932354,"24"
416754.38084305,238185.58753074,"27"
654501.62742815,-730897.85678518,"29"
2005763.05838628,95577.8530618,"36"
-1567827.19830163,67269.59068566,"41"
1226004.38300385,-920653.92607329,"47"
183406.49069944,-1558446.36473345,"48"
1887217.37169351,-571875.82834871,"51"
789563.86564149,34971.06324729,"55"
1245764.30566818,-1299748.48812794,"01"
-1073378.61375247,-1161723.89045606,"04"
679584.12433224,-1086852.68026554,"05"
1178615.32449498,-498709.91923248,"18"
147825.63986454,-720182.75480126,"20"
2345304.11147864,484189.45275292,"23"
2194986.56204827,-6195.84685148,"09"
2098575.40703568,-388457.7038576,"10"
1588051.64399854,-1267172.77162964,"13"
1787036.89402439,-1044547.67108794,"45"
-22071.25117372,-58336.17954662,"46"
2186995.25883553,79746.62888327,"25"
1234642.60056852,-127092.15575218,"26"
959109.04466328,-1231809.83792186,"28"
30351.34696896,-388990.80111109,"31"
-1433631.76108544,-429090.03211436,"32"
2237160.72079985,198875.63440553,"33"
2120271.55346356,-268279.46923506,"34"
-555630.76274661,-1146019.44327432,"35"
1940021.54601496,-817519.09716716,"37"
-35330.21874034,275101.94226582,"38"
2308742.57912613,34962.17010657,"44"
1430337.50984242,-395263.96315459,"39"
329819.91350034,-1054012.4025313,"40"
1844595.8116067,-208003.98387746,"42"
1843603.10389657,-1757749.94448823,"12"
-699884.02227664,263582.63822309,"30"
-995227.76768172,-595718.48238687,"49"
2117966.74961014,312422.8759887,"50"
-1503988.10114314,461676.41878289,"53"
1630252.96968763,-564449.97158813,"54"
-620855.74640293,-193038.38897075,"56"
-1207922.26326005,-1848886.94413331,"02"
-187343.1780051,-2252467.41747022,"15"
