FIPS,abbr,full,pop_est_2015
01,AL,Alabama,"4,858,979"
02,AK,Alaska,"738,432"
04,AZ,Arizona,"6,828,065"
05,AR,Arkansas,"2,978,204"
06,CA,California,"39,144,818"
08,CO,Colorado,"5,456,574"
09,CT,Connecticut,"3,590,886"
10,DE,Delaware,"945,934"
11,DC,District of Columbia,"672,228"
12,FL,Florida,"20,271,272"
13,GA,Georgia,"10,214,860"
15,HI,Hawaii,"1,431,603"
16,ID,Idaho,"1,654,930"
17,IL,Illinois,"12,859,995"
18,IN,Indiana,"6,619,680"
19,IA,Iowa,"3,123,899"
20,KS,Kansas,"2,911,641"
21,KY,Kentucky,"4,425,092"
22,LA,Louisiana,"4,670,724"
23,ME,Maine,"1,329,328"
24,MD,Maryland,"6,006,401"
25,MA,Massachusetts,"6,794,422"
26,MI,Michigan,"9,922,576"
27,MN,Minnesota,"5,489,594"
28,MS,Mississippi,"2,992,333"
29,MO,Missouri,"6,083,672"
30,MT,Montana,"1,032,949"
31,NE,Nebraska,"1,896,190"
32,NV,Nevada,"2,890,845"
33,NH,New Hampshire,"1,330,608"
34,NJ,New Jersey,"8,958,013"
35,NM,New Mexico,"2,085,109"
36,NY,New York,"19,795,791"
37,NC,North Carolina,"10,042,802"
38,ND,North Dakota,"756,927"
39,OH,Ohio,"11,613,423"
40,OK,Oklahoma,"3,911,338"
41,OR,Oregon,"4,028,977"
42,PA,Pennsylvania,"12,802,503"
44,RI,Rhode Island,"1,056,298"
45,SC,South Carolina,"4,896,146"
46,SD,South Dakota,"858,469"
47,TN,Tennessee,"6,600,299"
48,TX,Texas,"27,469,114"
49,UT,Utah,"2,995,919"
50,VT,Vermont,"626,042"
51,VA,Virginia,"8,382,993"
53,WA,Washington,"7,170,351"
54,WV,West Virginia,"1,844,128"
55,WI,Wisconsin,"5,771,337"
56,WY,Wyoming,"586,107"
